Division,Batch-Transaction ID,Transaction Date,Card Posting Dt,Merchant Name,Transaction Amt.,Trx.Currency,Original Amount,Original Currency,G/L Account,G/L Account Description,Cost Center / WBS Element / Order,Cost Center / WBS Element / Order Description,Merchant Type,Merchant Type Description,Purpose
SOLID WASTE MANAGEMENT,5290-1,7/2/2019,7/3/2019,PETROCAN,500.00,CAD,500.00,CAD,2280,DIESEL - CLEAR,SW0708,TRANSFER STATION WASTE ROLLOFF,5541,Service Stations (with or without Ancill,DIESL - CITY USE
,,,,,500.00,CAD,500.00,CAD,,,,,,,
SOLID WASTE MANAGEMENT,5307-1,7/24/2019,7/26/2019,PETROCAN,61.02,CAD,61.02,CAD,2260,GASOLINE,CSW930-03-01,KEELE VALLEY SOGR,5542,"Fuel Dispenser, Automated",GASOLINE CITY USE
,,,,,61.02,CAD,61.02,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5291-1,7/4/2019,7/4/2019,WATER AND ICE NORTH AM,270.07,CAD,270.07,CAD,2535,PLUMBING SUPPLIES,P12783,KIPLING YD-N-FAC. & MECH.SVCES,5996,Swimming Pools - Sales and Supplies,WEIR KIT
"PARKS, FORESTRY & RECREATION",5296-3,7/9/2019,7/9/2019,WATER AND ICE NORTH AM,419.23,CAD,419.23,CAD,2535,PLUMBING SUPPLIES,P06885,TECHNICAL TRADES SERVICES - 50 BOOTH,5996,Swimming Pools - Sales and Supplies,WALL ANCHORS
"PARKS, FORESTRY & RECREATION",5298-1,7/11/2019,7/15/2019,PACIFIC FASTENERS (198,9.88,CAD,9.88,CAD,2710,GENERAL HARDWARE,P06885,TECHNICAL TRADES SERVICES - 50 BOOTH,5251,Hardware Stores,M5X20 SKT CAP
"PARKS, FORESTRY & RECREATION",5298-2,7/11/2019,7/15/2019,WATER AND ICE NORTH AM,315.27,CAD,315.27,CAD,2535,PLUMBING SUPPLIES,P06885,TECHNICAL TRADES SERVICES - 50 BOOTH,5996,Swimming Pools - Sales and Supplies,CAPS AND TRIMMER PLATES
"PARKS, FORESTRY & RECREATION",5300-1,7/16/2019,7/17/2019,WATER AND ICE NORTH AM,"1,508.55",CAD,"1,508.55",CAD,2535,PLUMBING SUPPLIES,P06885,TECHNICAL TRADES SERVICES - 50 BOOTH,5996,Swimming Pools - Sales and Supplies,FLOWMETER
"PARKS, FORESTRY & RECREATION",5301-1,7/16/2019,7/18/2019,JJ DOWNS INDUSTRIAL,"1,055.40",CAD,"1,055.40",CAD,2710,GENERAL HARDWARE,P06885,TECHNICAL TRADES SERVICES - 50 BOOTH,5085,Industrial Supplies Not Elsewhere Classi,POLY TANK
"PARKS, FORESTRY & RECREATION",5302-1,7/18/2019,7/19/2019,WATER AND ICE NORTH AM,"1,135.65",CAD,"1,135.65",CAD,2535,PLUMBING SUPPLIES,P06885,TECHNICAL TRADES SERVICES - 50 BOOTH,5996,Swimming Pools - Sales and Supplies,FLOWMETER
"PARKS, FORESTRY & RECREATION",5309-1,7/29/2019,7/30/2019,WATER AND ICE NORTH AM,101.84,CAD,101.84,CAD,2535,PLUMBING SUPPLIES,P06885,TECHNICAL TRADES SERVICES - 50 BOOTH,5996,Swimming Pools - Sales and Supplies,FACE FLANGE
"PARKS, FORESTRY & RECREATION",5309-2,7/29/2019,7/30/2019,WATER AND ICE NORTH AM,-497.20,CAD,-497.20,CAD,2535,PLUMBING SUPPLIES,P06885,TECHNICAL TRADES SERVICES - 50 BOOTH,5996,Swimming Pools - Sales and Supplies,"RETURNED 6"" FLOWMETER"
,,,,,"4,318.69",CAD,"4,318.69",CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5288-2,6/29/2019,7/1/2019,LONG & MCQUADE,"-1,523.24",CAD,"-1,523.24",CAD,4590,RENTAL - OTHER,P13495,YORK CC - PRGM SUPPORT CR,5733,"Music Stores - Musical Instruments, Pian",REFUND
"PARKS, FORESTRY & RECREATION",5289-2,7/2/2019,7/2/2019,LONG & MCQUADE,72.32,CAD,72.32,CAD,4590,RENTAL - OTHER,P13495,YORK CC - PRGM SUPPORT CR,5733,"Music Stores - Musical Instruments, Pian",PA RENTAL
"PARKS, FORESTRY & RECREATION",5295-1,7/8/2019,7/8/2019,SAM S NO FRILLS #3663,18.57,CAD,18.57,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P13495,YORK CC - PRGM SUPPORT CR,5411,"Grocery Stores, Supermarkets","JUICE, FRUITS"
"PARKS, FORESTRY & RECREATION",5309-3,7/29/2019,7/30/2019,METRO #493,32.79,CAD,32.79,CAD,2750,FOOD & NON-ALCOHOLIC BEVERAGES,P13495,YORK CC - PRGM SUPPORT CR,5411,"Grocery Stores, Supermarkets",DETERGENT
,,,,,"-1,399.56",CAD,"-1,399.56",CAD,,,,,,,
SOLID WASTE MANAGEMENT,5307-2,7/24/2019,7/26/2019,CDN TIRE STORE #00119,135.59,CAD,135.59,CAD,3050,M & E - KITCHEN,SW0825,DUFFERIN TS OPERATIONS,5200,Home Supply Warehouse,MICROWAVE FOR DUFFERIN SCALE HOUSE
,,,,,135.59,CAD,135.59,CAD,,,,,,,
ECONOMIC DEVELOPMENT & CULTURE,5307-3,7/24/2019,7/26/2019,PAYPAL  ABALEADESIG,"1,921.00",CAD,"1,921.00",CAD,4085,PROF & TECH-MGMT,AH0068,MH OS PROGRAM DESIGN & DEVELOPMENT,7333,"Commercial Art, Graphics, Photography",DESIGN FOR MUSUEM SUMMER EVENTS
ECONOMIC DEVELOPMENT & CULTURE,5307-4,7/24/2019,7/26/2019,PAYPAL  ABALEADESIG,339.00,CAD,339.00,CAD,4085,PROF & TECH-MGMT,AH0068,MH OS PROGRAM DESIGN & DEVELOPMENT,7333,"Commercial Art, Graphics, Photography","DESIGN FOR REN NAVARRO POSTER, LEADERBOARD, WALK-UP WEEKDAYS POSTER, ROADMAP UPDATES"
ECONOMIC DEVELOPMENT & CULTURE,5307-5,7/24/2019,7/26/2019,PAYPAL  ABALEADESIG,"1,130.00",CAD,"1,130.00",CAD,4085,PROF & TECH-MGMT,AH0068,MH OS PROGRAM DESIGN & DEVELOPMENT,7333,"Commercial Art, Graphics, Photography",DESIGN FOR TORONTO BREWS MARKETING MATERIALS
ECONOMIC DEVELOPMENT & CULTURE,5308-2,7/26/2019,7/29/2019,ISTOCK.COM,323.10,CAD,323.10,CAD,4082,PHOTO/VIDEO SERVICES,AH0068,MH OS PROGRAM DESIGN & DEVELOPMENT,7333,"Commercial Art, Graphics, Photography",PHOTOS FOR MARKETING
,,,,,"3,713.10",CAD,"3,713.10",CAD,,,,,,,
FLEET SERVICES,5291-2,7/5/2019,7/5/2019,SHOPPERS DRUG MART #13,18.16,CAD,18.16,CAD,4815,COURIER SERVICES,FL4001,FLEET SAFETY & TRAINING,5912,"Drug Stores, Pharmacies",P7
FLEET SERVICES,5296-4,7/9/2019,7/9/2019,SHOPPERS DRUG MART #12,15.09,CAD,15.09,CAD,4815,COURIER SERVICES,FL4001,FLEET SAFETY & TRAINING,7399,Business Services - Not Elsewhere Classi,P7 LETTER
FLEET SERVICES,5298-3,7/12/2019,7/15/2019,MTO RUS DRIVER CERT PR,"3,620.00",CAD,"3,620.00",CAD,4991,PAYMENTS TO PROVINCE,FL4001,FLEET SAFETY & TRAINING,9399,Government Services - Not Elsewhere Clas,P7 DRIVER CERT PROGRAM FEE - MOT
FLEET SERVICES,5308-3,7/25/2019,7/29/2019,MTO RUS PRIS,5.00,CAD,5.00,CAD,4991,PAYMENTS TO PROVINCE,FL4001,FLEET SAFETY & TRAINING,9399,Government Services - Not Elsewhere Clas,P7 CVOR ABSTRACT
,,,,,"3,658.25",CAD,"3,658.25",CAD,,,,,,,
TORONTO WATER,5289-3,7/1/2019,7/2/2019,BRADY,955.53,CAD,955.53,CAD,2610,KITCHEN SUPPLIES,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,5099,Durable Goods Not Elsewhere Classified,BRADY TAG PART #41923
TORONTO WATER,5291-3,7/4/2019,7/4/2019,SHOPPERS DRUG MART #12,12.88,CAD,12.88,CAD,4815,COURIER SERVICES,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,7399,Business Services - Not Elsewhere Classi,MAIL TO MIN OF LABOUR
TORONTO WATER,5298-4,7/11/2019,7/15/2019,SHOPPERS DRUG MART #12,12.88,CAD,12.88,CAD,4815,COURIER SERVICES,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,9402,Postal Services - Government Only,TO COVER THE COST OF REGISTERED LETTER
TORONTO WATER,5301-2,7/17/2019,7/18/2019,THE DOCK SHOPPE INC,428.27,CAD,428.27,CAD,2665,PROTECTIVE CLOTHING,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,4468,"Marinas, Marine Service/Supplies",MUSTANG INFLATABLE HI-VIS AUTO HYDROSTATIC SAFETY VEST
TORONTO WATER,5302-2,7/18/2019,7/19/2019,105448 TERRYTOWN PO,10.17,CAD,10.17,CAD,4805,POSTAGE,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,4215,"Courier Services - Air & Ground, Freight",TO COVER THE COST OF 1 BOOKLET STAMPS FOR REGULAR LETTER
TORONTO WATER,5304-1,7/22/2019,7/23/2019,NOBLE 1001,96.05,CAD,96.05,CAD,2540,HEATING & AIR CONDITIONING SUPPLIES,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,5251,Hardware Stores,"AIRDEX24"" 33 DEG PITCH FAN BLADE & AIRDEX 1/2"" HEX HUB FOR WA 6"
TORONTO WATER,5304-2,7/22/2019,7/23/2019,NOBLE 1001,-96.05,CAD,-96.05,CAD,2540,HEATING & AIR CONDITIONING SUPPLIES,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,5251,Hardware Stores,"AIRDEX24"" 33 DEG PITCH FAN BLADE & AIRDEX 1/2"" HEX HUB FOR WA 6"
TORONTO WATER,5305-1,7/23/2019,7/24/2019,NOBLE 1001,96.05,CAD,96.05,CAD,2540,HEATING & AIR CONDITIONING SUPPLIES,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,5251,Hardware Stores,"AIR DEX24"" 33 DEG PITCH FAN BLADE & AIRDEX 1/2"" HEX HUB FOR WA 6"
TORONTO WATER,5305-2,7/23/2019,7/24/2019,NOBLE 1001,96.05,CAD,96.05,CAD,2540,HEATING & AIR CONDITIONING SUPPLIES,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,5251,Hardware Stores,"AIRDEX24"" 33 DEG PITCH FAN BLADE & AIRDEX 1/2"" HEX HUB FOR WA 6"
TORONTO WATER,5305-3,7/23/2019,7/24/2019,NOBLE 1001,96.05,CAD,96.05,CAD,2540,HEATING & AIR CONDITIONING SUPPLIES,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,5251,Hardware Stores,"AIR DEX24"" 33 DEG PITCH FAN BLADE & AIRDEX 1/2"" HEX HUB FOR WA 6"
TORONTO WATER,5305-4,7/23/2019,7/24/2019,NOBLE 1001,-96.05,CAD,-96.05,CAD,2540,HEATING & AIR CONDITIONING SUPPLIES,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,5251,Hardware Stores,"AIRDEX24"" 33 DEG PITCH FAN BLADE & AIRDEX 1/2"" HEX HUB FOR WA 6"
TORONTO WATER,5305-5,7/23/2019,7/24/2019,NOBLE 1001,-96.05,CAD,-96.05,CAD,2540,HEATING & AIR CONDITIONING SUPPLIES,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,5251,Hardware Stores,"AIRDEX24"" 33 DEG PITCH FAN BLADE & AIRDEX 1/2"" HEX HUB FOR WA 6"
TORONTO WATER,5310-1,7/29/2019,7/31/2019,CDN TIRE STORE #00654,77.71,CAD,77.71,CAD,2710,GENERAL HARDWARE,TW4015,WW TREATMT::  ASHBRIDGES BAY TP - ADMIN.,5200,Home Supply Warehouse,FLUID FILM FOR MEDECO KY SYSTEM & MC CABINET 43 DR FOR ABTP STORES KEY STORAGE & NAME TAGS
,,,,,"1,593.49",CAD,"1,593.49",CAD,,,,,,,
SOLID WASTE MANAGEMENT,5299-1,7/15/2019,7/16/2019,LOWES #02640,14.67,CAD,14.67,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,SW0854,INGRAM TS SITE MAINTENANCE,5200,Home Supply Warehouse,SAND 20KG
,,,,,14.67,CAD,14.67,CAD,,,,,,,
"PARKS, FORESTRY & RECREATION",5298-6,7/13/2019,7/15/2019,ULINE,951.46,CAD,951.46,CAD,2710,GENERAL HARDWARE,P00272,E-SOUTH2-TURF&HORT,5964,Direct Marketing - Catalog Merchants,"NON SLIP TAPE, BINS"
"PARKS, FORESTRY & RECREATION",5300-2,7/15/2019,7/17/2019,THE HOME DEPOT #7238,41.21,CAD,41.21,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,P00272,E-SOUTH2-TURF&HORT,5200,Home Supply Warehouse,10' 12' BOARD
"PARKS, FORESTRY & RECREATION",5301-3,7/17/2019,7/18/2019,LOWES #02633,39.52,CAD,39.52,CAD,3010,M & E - AGRICULTURAL & BOTANICAL,P00272,E-SOUTH2-TURF&HORT,5200,Home Supply Warehouse,"HAND TOOLS, SPRAYER"
,,,,,"1,032.19",CAD,"1,032.19",CAD,,,,,,,
FACILITIES MANAGEMENT,5297-3,7/10/2019,7/10/2019,NOBLE 1017,63.53,CAD,63.53,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61528162,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5251,Hardware Stores,CONDENSATE PUMP
FACILITIES MANAGEMENT,5298-7,7/12/2019,7/15/2019,ONTARIO HEATING ROGERS,35.76,CAD,35.76,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61528762,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,PARTS
FACILITIES MANAGEMENT,5298-8,7/12/2019,7/15/2019,ONTARIO HEATING ROGERS,57.86,CAD,57.86,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61525666,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,FILTERS
FACILITIES MANAGEMENT,5298-9,7/9/2019,7/15/2019,UNITED REFRIGERATION,277.70,CAD,277.70,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61528762,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5065,Electrical Parts and Equipment,PARTS RECEIPT 1
FACILITIES MANAGEMENT,5298-10,7/11/2019,7/15/2019,THE MASTER GROUP CRANF,40.35,CAD,40.35,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61525670,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,BELTS
FACILITIES MANAGEMENT,5298-11,7/11/2019,7/15/2019,LENNOX CANADA INC,752.90,CAD,752.90,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61528762,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5965,Direct Marketing - Combination Catalog a,AC PARTS
FACILITIES MANAGEMENT,5302-3,7/16/2019,7/19/2019,UNITED REFRIGERATION,61.37,CAD,61.37,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61529928,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5065,Electrical Parts and Equipment,PARTS RECEIPT
FACILITIES MANAGEMENT,5302-4,7/16/2019,7/19/2019,UNITED REFRIGERATION,89.53,CAD,89.53,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61529617,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5065,Electrical Parts and Equipment,FILTERS AND BELTS
FACILITIES MANAGEMENT,5302-5,7/18/2019,7/19/2019,ENGINEERED AIR,"1,033.95",CAD,"1,033.95",CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61529617,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,1711,"Air Conditioning, Heating, and Plumbing",CONDENSER FAN AND BLADE
FACILITIES MANAGEMENT,5303-2,7/19/2019,7/22/2019,RONA # 55140,704.66,CAD,704.66,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61528436,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5251,Hardware Stores,PORTABLE AC
FACILITIES MANAGEMENT,5304-3,7/22/2019,7/23/2019,WWG / TOTALINE,493.47,CAD,493.47,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61530596,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5085,Industrial Supplies Not Elsewhere Classi,CONDENSER FAN PARTS
FACILITIES MANAGEMENT,5307-6,7/22/2019,7/26/2019,UNITED REFRIGERATION,236.97,CAD,236.97,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61530596,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5065,Electrical Parts and Equipment,CONDENSER CLEANING SUPPLIES
FACILITIES MANAGEMENT,5308-4,7/26/2019,7/29/2019,PAUL WOLF ELECTRIC & L,77.18,CAD,77.18,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61531188,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5065,Electrical Parts and Equipment,AC DISCONNECT
FACILITIES MANAGEMENT,5308-5,7/26/2019,7/29/2019,THE MASTER GROUP CRANF,168.95,CAD,168.95,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61531223,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,PARTS RECEIPT
FACILITIES MANAGEMENT,5308-6,7/26/2019,7/29/2019,THE MASTER GROUP CRANF,124.44,CAD,124.44,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61531188,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,PARTS RECEIPT
FACILITIES MANAGEMENT,5309-4,7/29/2019,7/30/2019,THE MASTER GROUP CRANF,136.24,CAD,136.24,CAD,2530,BLDG REPAIRS & RENOVATION SUPPLIES,61530596,BLDG REPAIRS & RENOVATIONS - VARIOUS LOCATIONS,5074,Plumbing and Heating Equipment,PARTS RECEIPT
,,,,,"4,354.86",CAD,"4,354.86",CAD,,,,,,,
ECONOMIC DEVELOPMENT & CULTURE,5288-3,6/28/2019,7/1/2019,WMT SUPRCTR #1117,845.75,CAD,845.75,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,AH0018,AC AS CEDAR RIDGE CREATIVE CENTRE,5411,"Grocery Stores, Supermarkets","COMMAND HOOK, ICE PACK, PAINT, GLUE"
ECONOMIC DEVELOPMENT & CULTURE,5296-5,7/9/2019,7/9/2019,ABOVEGROUND ENTERPRISE,"2,124.90",CAD,"2,124.90",CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,AH0018,AC AS CEDAR RIDGE CREATIVE CENTRE,7333,"Commercial Art, Graphics, Photography","GLUE, PAINT, DYET, FELT, BRUSHES"
ECONOMIC DEVELOPMENT & CULTURE,5304-4,7/22/2019,7/23/2019,ABOVEGROUND ENTERPRISE,173.12,CAD,173.12,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,AH0018,AC AS CEDAR RIDGE CREATIVE CENTRE,7333,"Commercial Art, Graphics, Photography","MARKER, PAINT, FOAM, GEL"
ECONOMIC DEVELOPMENT & CULTURE,5306-2,7/24/2019,7/25/2019,STAPLES BUSINESS DEPOT,106.15,CAD,106.15,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,AH0018,AC AS CEDAR RIDGE CREATIVE CENTRE,5943,"Office, School Supply, and Stationery St",DVD'S FOR CAMP VIDEO
ECONOMIC DEVELOPMENT & CULTURE,5307-7,7/25/2019,7/26/2019,TASTE OF GREEK CUISINE,143.56,CAD,143.56,CAD,4820,BUSINESS MEETING EXPENSES,AH0018,AC AS CEDAR RIDGE CREATIVE CENTRE,5812,"Eating Places, Restaurants",FOOD FOR STAFF MEETING
ECONOMIC DEVELOPMENT & CULTURE,5308-7,7/27/2019,7/29/2019,-FEDEX- 98302665,119.53,CAD,119.53,CAD,*****,78% REBT OF THE 8% ON COMPONENT - MANUAL,,,4215,"Courier Services - Air & Ground, Freight",ADVANCEMENT FEE & CLEARANCE ENTRY FEE
ECONOMIC DEVELOPMENT & CULTURE,5309-5,7/29/2019,7/30/2019,AMZN MKTP CA MA59V14A0,99.00,CAD,99.00,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,AH0018,AC AS CEDAR RIDGE CREATIVE CENTRE,4816,Computer Network/Information Services,STORAGE CART
ECONOMIC DEVELOPMENT & CULTURE,5310-2,7/31/2019,7/31/2019,ULINE,158.09,CAD,158.09,CAD,2990,GIFT SHOP ITEMS FOR RESALE,AH0018,AC AS CEDAR RIDGE CREATIVE CENTRE,5964,Direct Marketing - Catalog Merchants,**MORE**  1 OZ CLEAR WIDE MOUTH JAR 72/CS
ECONOMIC DEVELOPMENT & CULTURE,5310-3,7/31/2019,7/31/2019,AMZN MKTP CA MA4NQ31U1,94.52,CAD,94.52,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,AH0018,AC AS CEDAR RIDGE CREATIVE CENTRE,4816,Computer Network/Information Services,STORAGE SHELF
,,,,,"3,864.62",CAD,"3,864.62",CAD,,,,,,,
FIRE SERVICES,5298-12,7/12/2019,7/15/2019,H O BOSTROM CO,"2,950.10",CAD,"2,200.86",USD,2120,PARTS - MACHINERY & EQUIPMENT,FR0025,MECHANICAL MAINT-VEHICLE MAINT,7399,Business Services - Not Elsewhere Classi,SEAPOST SEATS HBLX W/COT LOGO
FIRE SERVICES,5299-2,7/16/2019,7/16/2019,ONTARIO COLLEGE OF TRA,50.85,CAD,50.85,CAD,4830,PERMIT & LICENSE FEES,FR0025,MECHANICAL MAINT-VEHICLE MAINT,9399,Government Services - Not Elsewhere Clas,ANNUAL MEMBERSHIP RENEWAL
FIRE SERVICES,5302-6,7/17/2019,7/19/2019,MTO RUS-SO NORTH YORK,7.00,CAD,7.00,CAD,4830,PERMIT & LICENSE FEES,FR0025,MECHANICAL MAINT-VEHICLE MAINT,9399,Government Services - Not Elsewhere Clas,REPLACEMENT STICKER FOR TFS UNIT #20464
FIRE SERVICES,5306-3,7/23/2019,7/25/2019,THE PRINTING HOUSE #78,33.78,CAD,33.78,CAD,4424,CONTRACTED SERVICES - GENERAL,FR0025,MECHANICAL MAINT-VEHICLE MAINT,2741,Miscellaneous Publishing and Printing,PRINTS OF APPARATUS SPECIFICATIONS
,,,,,"3,041.73",CAD,91.63,CAD,,,,,,,
,,,,,,,"2,200.86",USD,,,,,,,
"PARKS, FORESTRY & RECREATION",5288-4,6/29/2019,7/1/2019,AMAZON.CA*MH8OK4F52,6.37,CAD,6.37,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13592,AFTERSCHOOL RECREATION CARE 2,4816,Computer Network/Information Services,BOARDER
"PARKS, FORESTRY & RECREATION",5288-5,6/29/2019,7/1/2019,AMAZON.CA*MH12E8AU1,26.93,CAD,26.93,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13592,AFTERSCHOOL RECREATION CARE 2,4816,Computer Network/Information Services,"FISH TEMPLATES, CRAYON BOARDERS"
"PARKS, FORESTRY & RECREATION",5288-6,6/29/2019,7/1/2019,AMAZON.CA*MH9J02A21,26.93,CAD,26.93,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13592,AFTERSCHOOL RECREATION CARE 2,4816,Computer Network/Information Services,"FISH TEMPLATES, CRAYON BOARDERS"
"PARKS, FORESTRY & RECREATION",5291-4,7/6/2019,7/6/2019,AMAZON.CA*MH8IM0AG2,99.88,CAD,99.88,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13592,AFTERSCHOOL RECREATION CARE 2,4816,Computer Network/Information Services,"BOARDERS, PAPER MAGIC"
"PARKS, FORESTRY & RECREATION",5293-1,7/8/2019,7/8/2019,AMAZON.CA*MH8GY81B2,28.20,CAD,28.20,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13592,AFTERSCHOOL RECREATION CARE 2,4816,Computer Network/Information Services,BOARDERS
"PARKS, FORESTRY & RECREATION",5295-2,7/8/2019,7/8/2019,AMAZON.CA*MH7325HT1,11.11,CAD,11.11,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13592,AFTERSCHOOL RECREATION CARE 2,4816,Computer Network/Information Services,BOARDER CLIP IMAGES
"PARKS, FORESTRY & RECREATION",5295-3,7/8/2019,7/8/2019,AMAZON.CA*MH4N001I2,11.11,CAD,11.11,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13592,AFTERSCHOOL RECREATION CARE 2,4816,Computer Network/Information Services,BOARDER CLIP IMAGES
"PARKS, FORESTRY & RECREATION",5295-4,7/8/2019,7/8/2019,AMAZON.CA*MH9PZ91C2,11.11,CAD,11.11,CAD,2600,RECREATIONAL & EDUCATIONAL SUPPLIES,P13592,AFTERSCHOOL RECREATION CARE 2,4816,Computer Network/Information Services,BOARDER CLIP IMAGES
